"Reference","Value","Datasheet","Footprint","Qty","DNP"
"battery_RTC1","Battery 3,7V","~","Battery:BatteryHolder_LINX_BAT-HLD-012-SMT","1",""
"C1,C2,C3,C4,C5,C6,C7","100nF","~","Capacitor_SMD:C_0805_2012Metric","7",""
"D1,D3,D4,D5,D6,D7,D8","BAT54J","https://assets.nexperia.com/documents/data-sheet/BAT54J.pdf","Diode_SMD:D_SOD-323_HandSoldering","7",""
"D2","1N4148WS","https://www.vishay.com/docs/85751/1n4148ws.pdf","Diode_SMD:D_SOD-323_HandSoldering","1",""
"J1","connector epaper","~","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","1",""
"J2,J3,J4,J5,J7","Conn_01x02_Socket","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","5",""
"pico1","SC0918","https://datasheets.raspberrypi.com/picow/pico-w-datasheet.pdf","PICO:MODULE_SC0918","1",""
"Q1,Q3","TSM260P02CX","https://www.taiwansemi.com/products/datasheet/TSM2301A_C15.pdf","Package_TO_SOT_SMD:SOT-23_Handsoldering","2",""
"Q2,Q4","MMBT3904","https://www.onsemi.com/pdf/datasheet/pzt3904-d.pdf","Package_TO_SOT_SMD:SOT-23","2",""
"R1,R7,R8,R14","200k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4",""
"R2","1M","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R3,R4","4k7","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R5,R10,R11,R12,R13,R21","1k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","6",""
"R6","220R","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R9,R22","50k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R15","2M2","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R16","22R","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R17,R18,R19,R20","10k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4",""
"SW1","SW_DIP_x04","~","Button_Switch_SMD:SW_DIP_SPSTx04_Slide_9.78x12.34mm_W8.61mm_P2.54mm","1",""
"U1","DS3231M","http://datasheets.maximintegrated.com/en/ds/DS3231.pdf","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","1",""
"U2","BMP581","","inki:BMP581","1",""
